num	app_num	제목	출원인	IPC	CPC
55	10-2021-7040183	크로마 성분에 대한 영상 디코딩 방법 및 그 장치(IMAGE DECODING METHOD FOR CHROMA COMPONENT AND DEVICE THEREFOR)	LGE	H04N	G05B2219/35014
56	10-2021-7038853	반도체 장치 및 그 제작 방법(SEMICONDUCTOR DEVICE AND MANUFACTURING METHOD THEREOF)	SEL	H01L	H01L21/024
57	10-2021-0026299	메모리 리소스들을 관리하기 위한 시스템 및 방법(SYSTEM AND METHOD FOR MANAGING MEMORY RESOURCES)	SSE	G06F	G05B2219/45119
58	10-2021-7034223	간섭에 응답한 송신의 파라미터 조정(ADJUSTING PARAMETERS OF A TRANSMISSION IN RESPONSE TO INTERFERENCE)	SSE	H04L	H04N1/32032
59	10-2020-0093411	네트워크 슬라이스와 데이터 세션을 형성하는 전자 장치 및 그 동작 방법(ELECTRONIC DEVICE ESTABLISHING DATA SESSION WITH NETWORK SLICE AND METHOD FOR OPERATING THEREOF)	SSE	H04L	H01R12/856
60	10-2019-7020770	전자장치, 그 동작방법, 및 복수의 인공지능장치를 포함한 시스템(ELECTRONIC DEVICE, OPERATION METHOD THEREOF, AND SYSTEM COMPRISING PLURALITY OF ARTIFICIAL INTELLIGENCE DEVICES)	LGE	G06F	G08C2201/31
61	10-2019-7020234	인증 레벨에 기반한 지능형 서비스 제공 방법 및 장치(METHOD AND APPARATUS FOR PROVIDING INTELLIGENT SERVICE ON BASIS OF AUTHENTICATION LEVEL)	LGE	G06F	H04M15/854
62	10-2020-0070201	스마트게이트(Smart gate)	LGE	G07C	F04B7/0034
63	10-2020-0063921	서버 및 그의 제어 방법(SERVER AND CONTROLLING METHOD THEREOF)	SSE	H04L	H04K2203/34
64	10-2020-0057271	무선 통신 시스템에서 트랜잭션 처리를 지원하는 네트워크 장치의 설정 방법 및 장치(METHOD AND APPARATUS FOR CONFIGURING NETWORK DEVICES TO SUPPORT TRANSACTIONS IN A WIRELESS COMMUNICATION SYSTEM)	SSE	H04L	H04M2215/44
65	10-2020-0055901	전자 장치 및 전자 장치에서 수신된 데이터 패킷을 처리하는 방법(ELECTRONIC DEVICE AND METHOD FOR PROCESSING A DATA PACKET RECEIVED IN THE ELECTRONIC DEVICE)	SSE	H04L	B65D2251/0056
66	10-2020-0047801	사용자 지정 알고리즘을 이용한 이동 통신 단말기의 제어 방법, 및 이동 통신 단말기(Method for controlling of mobile communication device, and mobile communication device)	SSD	H04M	G06K9/00221
67	10-2021-7036016	사용자 구성가능한 그래픽 구조들의 공유(SHARING USER-CONFIGURABLE GRAPHICAL CONSTRUCTS)	APPLE	G06F	G06F9/451
68	10-2020-0108069	지문 검출 방법 및 장치(METHOD AND APPARATUS OF DETECTING FINGERPRINT)	SSE	G06K	H05B39/085
69	10-2021-7031666	컴퓨터 생성 현실 시스템에서의 분배 프로세싱(DISTRIBUTED PROCESSING IN COMPUTER GENERATED REALITY SYSTEM)	APPLE	G06F	H03F2200/84
70	10-2020-0076007	표시 장치 및 이의 구동 방법(DISPLAY DEVICE AND METHOD FOR DRIVING THE SAME)	SSD	H01L	G06K9/00013
71	10-2020-0067207	블록체인을 이용하는 전자 장치 및 동작 방법(ELECTRONIC DEVICE USING BLOCKCHAIN AND A METHOD THEREOF)	SSE	G06Q	F16D2500/1082
72	10-2020-0067759	음성 또는 문자를 번역하는 전자 장치 및 그 방법(ELECTRONIC DEVICE FOR TRANSLATING VOICE OR TEXT AND METHOD THEREOF)	SSE	G06F	B41J1/12
73	10-2020-0062377	위조 지문 검출 장치 및 위조 지문 방지를 위한 모델 업데이트 방법(FAKE FINGERPRINT DETECTION DEVICE AND MODEL UPDATE METHOD FOR FAKE FINGERPRINT PREVENTION)	SSE	G06K	B29K2291/00
74	10-2020-0058507	영상을 제공하는 방법 및 장치(APPARATUS AND METHOD FOR PROVIDING IMAGE)	SSE	H04N	H04N21/25891
75	10-2020-0062589	정맥인증 기능을 구비한 도어핸들(DOOR HANDLE WITH VEIN AUTHENTICATION)	LGE	G07C	G06K2009/00932
76	10-2020-0056997	광학 센서 모듈을 포함하는 전자 장치(ELECTRONIC DEVICE INCLUDING OPTICAL SENSOR MODULE)	SSE	G02F	H04M1/0277
77	10-2020-0057729	칠러 네트워크 시스템(Chiller network system)	LGE	H04L	F21S41/64
78	10-2021-0141176	교반 조리 어셈블리 및 이를 포함하는 조리 기기(STIR COOKING ASSEMBLY AND COOKING APPARATUS COMPRISING THE SAME)	SSE	F24C	H05B6/6411
79	10-2019-7020771	냉장고 및 냉장고의 물품 관리 방법(REFRIGERATOR AND METHOD FOR MANAGING PRODUCTS IN REFRIGERATOR)	LGE	F25D	F25D29/00
80	10-2021-0061536	플렉서블 디스플레이를 포함하는 전자 장치(ELECTRONIC DEVICE INCLUDING FLEXIBLE DISPLAY)	SSE	G06F	H04M1/0268
81	10-2021-0038306	서버-링크 스위치 및 캐시-일관 메모리를 갖는 시스템(SYSTEM WITH CACHE-COHERENT MEMORY AND SERVER-LINKING SWITCH)	SSE	H04L	G05B2219/37587
82	10-2021-0033646	롤러블 디스플레이를 갖는 전자 장치 및 이를 위한 디스플레이 방법(ELECTRONIC DEVICE HAVING ROLLABLE DISPLAY AND DISPLAY METHOD THEREOF)	SSE	G06F	B62B3/1432
83	10-2021-0022026	무선 통신에서 협력 공간 재사용을 위한 장치 및 방법(APPARATUS AND METHOD FOR COORDINATED SPATIAL REUSE)	SSE	H04W	G05B2219/31151
84	10-2019-7021057	영상 보정 방법 및 장치(IMAGE STABILIZATION METHOD AND DEVICE)	LGE	H04N	H04N5/2328
85	10-2019-7020207	인공 지능형 냉장 장치와 그 제어 방법(ARTIFICIALLY INTELLIGENT REFRIGERATION DEVICE AND METHOD FOR CONTROLLING SAME)	LGE	F25D	G07C9/00563
86	10-2019-7020769	냉장고 및 냉장고의 물품 관리 방법()	LGE	F25D	B25J19/04
87	10-2020-0113016	동적 물체 탐지 방법 및 장치(METHOD AND APPARATUS FOR DETECTING MOVING OBJECT)	SSE	G06K	H04N13/0271
88	10-2020-0063586	표시 장치 및 이의 제조 방법(DISPLAY APPARATUS AND METHOD FOR MANUFACTURING THE SAME)	SSD	H01L	G02F1/136209
89	10-2020-0061606	웨어러블 기기 및 생체정보 추정 방법(WEARAGLE DEVICE AND, METHOD FOR ESTIMATING BIO-INFORMATION)	SSE	A61B	A61B5/00
90	10-2021-7040685	통신 네트워크에서 데이터 분석의 개선 및 관련(IMPROVEMENTS IN AND RELATING TO DATA ANALYTICS IN A TELECOMMUNICATION NETWORK)	SSE	H04L	H03J2200/18
91	10-2020-0056576	공기청정기(AIR PURIFIER)	LGE	F24F	B01D46/00
92	10-2020-0055806	안마장치의 제어방법(Controlling method of Massage Apparatus)	LGE	A61H	G07F17/08
93	10-2020-0055686	지문 센서, 및 그를 포함한 표시 장치(FINGERPRINT SENSOR AND DISPLAY DEVICE INCLUDING THE SAME)	SSD	G06K	G06K9/0004
94	10-2020-0054796	네트워크 슬라이스를 이용하여 에지 컴퓨팅 서비스를 제공하는 장치 및 방법(APPARATUS AND METHOD FOR PROVIDING A SERVICE OF EDGE COMUPTING USING NETWORK SLICE)	SSE	H04L	F04B2201/1202
95	10-2020-0052696	무선 통신 시스템에서 대용량의 데이터를 처리하기 위한 장치 및 방법(APPARATUS AND METHOD FOR PROCESSING LARGE AMOUNTS OF DATA IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04L	A43D21/163
96	10-2021-7038325	컨퍼런스 기능을 갖는 자동화된 어시스턴트(AUTOMATED ASSISTANTS WITH CONFERENCE CAPABILITIES)	GOOGLE	H04L	G10L15/26
97	10-2021-7038005	신체 액티비티와 연관된 사용자 인터페이스들의 디스플레이(DISPLAYING USER INTERFACES ASSOCIATED WITH PHYSICAL ACTIVITIES)	APPLE	G06F	C07C2/16
98	10-2020-0050646	광학적 객체 인식을 위한 참조 영상 획득 방법 및 이를 이용한 광학적 객체 인식 방법(METHOD OF OBTAINING REFERENCE IMAGE FOR OPTICAL OBJECT RECOGNITION AND METHOD OF PERFORMING OPTICAL OBJECT RECOGNITION USING THE SAME)	SSE	G06K	H04Q2213/13531
99	10-2021-7035835	음성 또는 입력된 발화의 온-디바이스 레졸루션을 가능하게 하기 위해 클라이언트 장치에서 어시스턴트 액션 콘텐츠의 프로액티브 캐시(PROACTIVE CACHING OF ASSISTANT ACTION CONTENT AT A CLIENT DEVICE TO ENABLE ON-DEVICE RESOLUTION OF SPOKEN OR TYPED UTTERANCES)	GOOGLE	G10L	Y10S438/935
100	10-2021-7038308	업링크 송신 스케줄링(SCHEDULING UPLINK TRANSMISSIONS)	SSE	H04L	H04L1/18
101	10-2021-7037508	인공지능 기반의 공기조화기(ARTIFICIAL INTELLIGENCE-BASED AIR CONDITIONER)	LGE	F24F	F23N2223/52
102	10-2021-7037418	디지털 컴포넌트들을 포맷하기 위한 확률적 기법(PROBABILISTIC TECHNIQUES FOR FORMATTING DIGITAL COMPONENTS)	GOOGLE	H04L	C08G2650/44
103	10-2021-7037258	미디어 데이터 전달 제어를 위한 방법 및 장치(METHOD AND APPARATUS FOR MEDIA DATA DELIVERY CONTROL)	SSE	H04L	H04L69/326
104	10-2021-0173965	유기 발광 표시 장치(ORGANIC LIGHT EMITTING DIODE DISPLAY)	SSD	B32B	H01L51/5259
105	10-2019-7023566	전자 장치 및 그 제어 방법(ELECTRONIC DEVICE AND CONTROL METHOD THEREFOR)	LGE	G06F	G06F21/32
106	10-2021-0033645	롤러블 디스플레이를 갖는 전자 장치 및 이를 위한 디스플레이 방법(ELECTRONIC DEVICE HAVING ROLLABLE DISPLAY AND DISPLAY METHOD THEREOF)	SSE	G06F	G09F9/301
107	10-2021-0061538	복수의 상태들을 갖는 디스플레이를 포함하는 전자 장치 및 그 제어 벙법(An electronic device including a display having multiple states)	SSE	G06F	B41J5/06
108	10-2021-0053268	QMC (quality of experience measurement collection)를 수행하는 방법 및 장치(Method and apparatus for performing QMC)	SSE	H04L	H04W36/14
109	10-2021-7040333	선택가능한 어플리케이션 링크들을 퍼스널 어시스턴트 모듈과의 대화에 통합하기(INCORPORATING SELECTABLE APPLICATION LINKS INTO CONVERSATIONS WITH PERSONAL ASSISTANT MODULES)	GOOGLE	G06F	H04L51/16
110	10-2021-7039623	무선 통신 시스템에서 위상 추적 참조 신호의 송수신 방법 및 이에 대한 장치(METHOD FOR TRANSMITTING AND RECEIVING PHASE TRACKING REFERENCE SIGNAL IN WIRELESS COMMUNICATION SYSTEM, AND APPARATUS THEREFOR)	LGE	H04L	H04W72/1289
111	10-2021-7030913	문서들에서 키-값 쌍들의 식별(IDENTIFYING KEY-VALUE PAIRS IN DOCUMENTS)	GOOGLE	G06K	G06K9/6215
112	10-2021-0176983	외부의 IoT 장치를 관리 및 제어하는 방법 및 이를 지원하는 전자 장치(Method for Managing and Controling the External IoT Device and the Electronic Device supporting the same)	SSE	H04L	H03K5/15046
113	10-2021-0147953	생체 정보의 위조를 식별하기 위한 전자 장치 및 방법(ELECTRONIC DEVICE AND METHOD FOR IDENTIFYING FALSIFICATION OF BIOMETRIC INFORMATION)	SSE	G06F	G06F21/32
114	10-2020-0076005	지문 인증 장치, 이를 포함하는 표시 장치, 및 지문 인증 방법(FINGERPRINT AUTHENTICATION DEVICE, DISPLAY DEVICE INCLUDING THE SAME, AND METHOD OF AUTHENTICATIING FINGERPRINT)	SSD	G06F	G05B19/075
115	10-2020-0070355	도어 잠금 장치 및 이의 제어 방법(DOOR LOCKING DEVICE AND METHOD FOR THE SAME)	LGE	G07C	Y10S16/07
116	10-2020-0069605	전자장치 및 그 제어방법(ELECTRONIC APPARATUS AND CONTROL METHOD THEREOF)	SSE	G06Q	H04L67/306
117	10-2020-0064595	디바이스 간 데이터 교환 방법 및 이 방법을 실행하는 시스템(MULTI DEVICE DATA EXCHANGE METHOD AND SYSTEM IMPLEMENTING THE SAME)	SSE	H04L	H04Q3/54566
118	10-2021-0027533	서버 메모리를 집계하는 시스템 및 방법(SYSTEM AND METHOD FOR AGGREGATING SERVER MEMORY)	SSE	G06F	H01H2227/0261
119	10-2020-0057185	연합 학습을 위한 전자 장치를 제어하는 방법 및 디바이스(Electric apparatus control method for Federated learning and Electric apparatus)	SSE	G06N	H01L2224/13583
120	10-2020-0049725	네트워크 슬라이스 자원 할당 및 시각화 방법(A Method and Apparatus for Network Slice Resource Allocation and Visualization)	SSE	H04L	H04L47/80
121	10-2020-0049505	지문 센서를 구비한 표시장치 및 그의 구동 방법(DISPLAY DEVICE INCLUDING FINGERPRINT SENSOR AND DRIVING METHOD THEREOF)	SSD	G06K	B62D15/021
122	10-2020-0077108	표시장치와 이를 포함한 모바일 단말기(DISPLAY DEVICE AND MOBILE TERMINAL DEVICE INCLUDING THE SAME)	LGD	H01L	A61F2013/51069
123	10-2020-0074868	객체 인식 방법 및 객체 인식 장치(OBJECT RECOGNITION METHOD AND OBJECT RECOGNITION APPARATUS)	SSE	G06K	G06K9/00624
124	10-2020-0072098	가전제품 및 가전제품의 제어 방법(HOME APPLIANCE AND CONTROL METHOD THEREOF)	LGE	G06F	F16B12/60
125	10-2020-0065298	반려동물을 모니터링하기 위한 모니터링 장치 및 서버(MONITORING APPARATUS AND SERVER FOR MONITORING PET)	SSE	G06Q	C09D101/32
126	10-2020-0056738	지문 센서 및 지문 센서를 포함하는 전자 장치(Fingerprint Sensor and Electronic device comprising Fingerprint Sensor)	SSE	H01L	H05K2201/10946
127	10-2020-0051288	패킷을 송수신하는 전자 장치 및 그 동작 방법(ELECTRONIC DEVICE TRANSMITTING AND RECEIVING PACKET AND METHOD FOR OPERATING THEREOF)	SSE	H04W	H01H47/36
128	10-2020-0171453	생체인증 기반 스마트카드(BIOMETRIC AUTHENTICATION SMART CARD)	SSE	G06Q	B29D30/3057
129	10-2020-0166963	WLAN 시스템에서 PPDU 내 시그널링 필드의 오버헤드를 저감하기 위한 장치 및 방법(APPARATUS AND METHOD FOR REDUCING OVERHEAD OF SIGNALING FIELD IN PPDU AT A WIRELESS LOCAL AREA NETWORK SYSTEM)	SSE	H04L	H04N1/0005
130	10-2020-0155423	제스쳐 기반 제어 전자 장치 및 그 동작 방법(A gesture controlled electronic apparatus and a method of operating the electronic apparatus)	SSE	G06F	G01C19/14
131	10-2020-0074343	스타일러스 펜과의 결합 상태에 기초하여 동작하는 전자 장치 및 스타일러스 펜과의 결합 상태에 기초하여 전자 장치를 제어하는 방법(ELECTRONIC DEVICE OPERATING BASED ON ATTACHMENT STATUS WITH RESPECT TO STYLUS PEN AND METHOD OF CONTROLLING ELECTRONIC DEVICE BASED ON ATTACHMENT STATUS WITH RESPECT TO STYLUS PEN)	SSE	H04W	F16C2226/12
132	10-2020-0057283	데이터 전송 방법 및 이를 지원하는 전자 장치(Method of transmitting data and electronic device supporting the same)	SSE	H04L	G11C2211/5612
133	10-2020-0055493	에지 컴퓨팅 서비스 관련 정보 관리 방법 및 장치(METHOD AND APPARATUS FOR MANGING INFORMATION RELATED TO EDGE COMPUTING SERVICE)	SSE	H04L	B65H2701/13214
134	10-2021-7041052	NR V2X에서 HARQ 피드백 동작을 수행하는 방법 및 장치(METHOD AND DEVICE FOR PERFORMING HARQ FEEDBACK OPERATION IN NR V2X)	LGE	H04L	A23L29/274
135	10-2021-7037142	냉장고(REFRIGERATOR)	LGE	F25D	F25D2700/02
136	10-2021-0151702	송신 장치 및 그의 부가 패리티 생성 방법(TRANSMITTER AND METHOD FOR GENERATING ADDITIONAL PARITY THEREOF)	SSE	H03M	H03M13/6381
137	10-2020-0053264	공기청정기(Air Cleaner)	LGE	F24F	F24F2001/004
138	10-2021-7039699	공유된 무선 주파수 스펙트럼 대역을 통해 송신된 업링크 컴포넌트 캐리어 상의 전력을 관리하기 위한 기술들(TECHNIQUES FOR MANAGING POWER ON AN UPLINK COMPONENT CARRIER TRANSMITTED OVER A SHARED RADIO FREQUENCY SPECTRUM BAND)	QLC	H04W	H04L1/1887
139	10-2021-0172649	의류처리장치(Laundry Treating Apparatus)	LGE	D06F	D06F39/003
140	10-2021-0159989	진공공간부를 구비하는 냉장고(A refrigerator comprising a vaccum space)	LGE	F25D	F25D23/06
141	10-2021-7041346	논리 회로, 처리 유닛, 전자 부품, 및 전자 기기(LOGIC CIRCUIT, PROCESSING UNIT, ELECTRONIC COMPONENT, AND ELECTRONIC DEVICE)	SEL	H03K	G01R31/318541
142	10-2021-7037725	냉장고(REFRIGERATOR)	LGE	F25D	F25D27/00
143	10-2021-0172648	의류처리장치(Laundry Treating Apparatus)	LGE	D06F	H05B6/12
144	10-2021-7041372	제작자 제공 콘텐츠 기반 인터랙티브 대화 APPLE리케이션 테일링(TAILORING AN INTERACTIVE DIALOG APPLICATION BASED ON CREATOR PROVIDED CONTENT)	GOOGLE	G06F	Y10S430/108
145	10-2021-0168542	유기 화합물, 발광 소자, 디스플레이 모듈, 조명 모듈, 발광 장치, 표시 장치, 전자 기기, 및 조명 장치(ORGANIC COMPOUND, LIGHT-EMITTING ELEMENT, DISPLAY MODULE, LIGHTING MODULE, LIGHT-EMITTING DEVICE, DISPLAY DEVICE, ELECTRONIC DEVICE, AND LIGHTING DEVICE)	SEL	C09K	F02F3/06
146	10-2021-7038304	표시장치의 구동방법(METHOD FOR DRIVING DISPLAY DEVICE)	SEL	G09G	B60K2350/2034
147	10-2021-7039660	발광 소자, 발광 장치, 전자 기기 및 조명 장치(LIGHT-EMITTING ELEMENT, LIGHT-EMITTING DEVICE, ELECTRONIC DEVICE, AND LIGHTING DEVICE)	SEL	H01L	B29C2043/5061
