cpc	description	4char	3char
H02B1/54	. Anti-seismic devices or installations (for buildings in general E04B 1/98 {; shock absorbers F16F})	H02B	H02
H04W4/38	. . for collecting sensor information	H04W	H04
H02K35/02	. with moving magnets and stationary coil systems	H02K	H02
H02S20/32	. . specially adapted for solar tracking	H02S	H02
H04N13/363	. . using image projection screens (volumetric display H04N13/388)	H04N	H04
H05K1/14	. . Structural association of two or more printed circuits (providing electric connection to or between printed circuits H05K1/11, H01R12/00)	H05K	H05
H01B1/02	. mainly consisting of metals or alloys	H01B	H01
H04N13/282	. . for generating image signals corresponding to three or more geometrical viewpoints, e.g. multi-view systems	H04N	H04
H01L33/02	. characterised by the semiconductor bodies	H01L	H01
H02G15/08	. Cable junctions (for gas- or oil-filled cables H02G15/24; disconnectible junctions, electrical connections H01R)	H02G	H02
H01L33/14	. . with a carrier transport control structure, e.g. highly-doped semiconductor layer or current-blocking structure	H01L	H01
H01L33/38	. . with a particular shape	H01L	H01
H01R4/66	. . Connections with the terrestrial mass, e.g. earth plate, earth pin	H01R	H01
H04N5/655	. . Construction or mounting of chassis, e.g. for varying the elevation of the tube	H04N	H04
H04N5/645	. . Mounting of picture tube on chassis or in housing	H04N	H04
H04W4/60	. Subscription-based services using application servers or record carriers, e.g. SIM application toolkits	H04W	H04
H04W12/06	. Authentication	H04W	H04
H04W88/06	. . adapted for operation in multiple networks {or having at least two operational modes}, e.g. multi-mode terminals	H04W	H04
H02K11/40	. Structural association with grounding devices	H02K	H02
H02J3/01	. Arrangements for reducing harmonics or ripples	H02J	H02
H02B1/56	. Cooling; Ventilation	H02B	H02
H01Q1/48	. Earthing means; Earth screens; Counterpoises	H01Q	H01
H01Q1/46	. . Electric supply lines or communication lines	H01Q	H01
H01Q1/28	. . Adaptation for use in or on aircraft, missiles, satellites, or balloons	H01Q	H01
H05B33/14	. . characterised by the chemical or physical composition or the arrangement of the electroluminescent material {, or by the simultaneous addition of the electroluminescent material in or onto the light source}	H05B	H05
H02K33/02	. with armatures moved one way by energisation of a single coil system and returned by mechanical force, e.g. by springs	H02K	H02
H02K33/16	. with polarised armatures moving in alternate directions by reversal or energisation of a single coil system	H02K	H02
H02K5/04	. Casings or enclosures characterised by the shape, form or construction thereof	H02K	H02
H01M10/052	. . Li-accumulators	H01M	H01
H04L27/06	. . Demodulator circuits; Receiver circuits	H04L	H04
H02H3/02	. Details	H02H	H02
H04Q1/08	. . Frames or mounting racks for relays; Accessories therefor	H04Q	H04
H04Q1/20	. . Testing circuits or apparatus; Circuits or apparatus for detecting, indicating, or signalling faults or troubles	H04Q	H04
H04Q2201/08	. Pivotable parts	H04Q	H04
H04Q2201/10	. Housing details	H04Q	H04
H02J50/90	. involving detection or optimisation of position, e.g. alignment	H02J	H02
H04B10/11	. Arrangements specific to free-space transmission, i.e. transmission through air or vacuum	H04B	H04
H02S50/00	Monitoring or testing of PV systems, e.g. load balancing or fault identification	H02S	H02
H04W4/06	. Selective distribution of broadcast services, e.g. multimedia broadcast multicast service [MBMS]; Services to user groups; One-way selective calling services	H04W	H04
H02G15/10	. . protected by boxes, e.g. by distribution, connection or junction boxes (terminal blocks H01R9/00 {; distribution boxes per se H02G3/08})	H02G	H02
H01H13/12	. . Movable parts; Contacts mounted thereon	H01H	H01
H01H13/04	. . Cases; Covers	H01H	H01
H01F27/02	. Casings	H01F	H01
H01R13/639	. . Additional means for holding or locking coupling parts together, after engagement, {e.g. separate keylock, retainer strap}	H01R	H01
H01F13/003	. Methods and devices for magnetising permanent magnets 	H01F	H01
H02G11/02	. using take-up reel or drum	H02G	H02
H04W4/40	. . for vehicles, e.g. vehicle-to-pedestrians [V2P]	H04W	H04
H04W4/08	. . User group management	H04W	H04
H04R31/00	Apparatus or processes specially adapted for the manufacture of transducers or diaphragms therefor {(manufacture of microstructural arrangements of deformable or non-deformable structures in general B81C 1/00182)}	H04R	H04
H04N19/593	. . involving spatial prediction techniques	H04N	H04
H04N19/70	. characterised by syntax aspects related to video coding, e.g. related to compression standards	H04N	H04
H01H11/04	. of switch contacts	H01H	H01
H02J7/35	. . with light sensitive cells	H02J	H02
H02S40/10	. Cleaning arrangements	H02S	H02
H02S20/30	. Supporting structures being movable or adjustable, e.g. for angle adjustment	H02S	H02
H03H7/40	. . Automatic matching of load impedance to source impedance	H03H	H03
H01P5/04	. with variable factor of coupling	H01P	H01
H05B47/16	. . by timing means	H05B	H05
H05B45/10	. Controlling the intensity of the light	H05B	H05
H05B45/20	. Controlling the colour of the light	H05B	H05
H01L31/18	. Processes or apparatus specially adapted for the manufacture or treatment of these devices or of parts thereof	H01L	H01
H01L31/042	. . PV modules or arrays of single PV cells (supporting structures for PV modules H02S20/00)	H01L	H01
H04R7/12	. . Non-planar diaphragms or cones	H04R	H04
H01Q9/44	. . with a plurality of divergent straight elements, e.g. V-dipole, X-antenna; with a plurality of elements having mutually inclined substantially straight portions (combinations of two or more active elements H01Q21/00; turnstile antennas H01Q21/26)	H01Q	H01
H01L33/40	. . Materials therefor	H01L	H01
H05B3/40	. Heating elements having the shape of rods or tubes (H05B3/62, H05B3/68, H05B3/78 take precedence)	H05B	H05
H04R2499/13	. . Acoustic transducers and sound field adaptation in vehicles	H04R	H04
H02S40/32	. . comprising DC/AC inverter means associated with the PV module itself, e.g. AC modules	H02S	H02
H05B3/20	. Heating elements having extended surface area substantially in a two-dimensional plane, e.g. plate-heater (H05B3/62, H05B3/68, H05B3/78, H05B3/84 take precedence)	H05B	H05
H05B3/10	. Heater elements characterised by the composition or nature of the materials or by the arrangement of the conductor (compositions per se see the relevant subclasses)	H05B	H05
H05B1/02	. Automatic switching arrangements specially adapted to apparatus {; Control of heating devices} (thermally-actuated switches H01H37/00)	H05B	H05
H04L2209/38	. Chaining, e.g. hash chain or certificate chain	H04L	H04
H05G1/04	. . Mounting the X-ray tube within a closed housing	H05G	H05
H02K53/00	Alleged dynamo-electric perpetua mobilia	H02K	H02
H04M2250/22	. including a touch pad, a touch sensor or a touch detector (digitizers for touch screens G06F 3/041)	H04M	H04
H02K7/116	. . with gears	H02K	H02
H04N13/271	. . wherein the generated image signals comprise depth maps or disparity maps	H04N	H04
H04N5/907	. . using static stores, e.g. storage tubes or semiconductor memories (H04N5/91 takes precedence)	H04N	H04
H04W4/02	. Services making use of location information	H04W	H04
H01Q15/14	. Reflecting surfaces; Equivalent structures {(electromagnetic shields H01Q1/526)}	H01Q	H01
H04W4/029	. . Location-based management or tracking services	H04W	H04
H02G9/00	Installations of electric cables or lines in or on the ground or water (cathodic protection C23F 13/02; detection of buried cables G01V)	H02G	H02
H02G9/06	. in underground tubes or conduits; Tubes or conduits therefor	H02G	H02
H01F7/06	. Electromagnets; Actuators including electromagnets	H01F	H01
H05B2203/02	. Heaters using heating elements having a positive temperature coefficient	H05B	H05
H04B17/15	. . Performance testing	H04B	H04
H04W4/10	. . Push-to-Talk [PTT] or Push-On-Call services	H04W	H04
H04N5/33	. . Transforming infra-red radiation	H04N	H04
H04N5/335	. . using solid-state image sensors [SSIS] (H04N5/32, H04N5/33 take precedence)	H04N	H04
H02P27/06	. . using dc to ac converters or inverters (H02P27/05 takes precedence)	H02P	H02
H02G3/22	. Arrangements for leading cables or lines through walls, floors, or ceilings, e.g. into building (devices for use where pipes, cables or protective tubing pass through walls or partitions F16L 5/00; lead-in or lead-through insulators H01B17/26; insulating tubes or sleeves H01B17/58)	H02G	H02
H01R11/11	. End pieces or tapping pieces for wires, supported by the wire and for facilitating electrical connection to some other wire, terminal or conductive member (H01R11/01 takes precedence)	H01R	H01
H01R4/14	. . by wrapping	H01R	H01
H01R4/48	. . utilising a spring, clip, or other resilient member (H01R4/52 takes precedence)	H01R	H01
H04M1/04	. . Supports for telephone transmitters or receivers	H04M	H04
H04W8/24	. . Transfer of terminal data	H04W	H04
H05B47/10	. Controlling the light source	H05B	H05
H01L23/538	. . the interconnection structure between a plurality of semiconductor chips being formed on, or in, insulating substrates ({H05Ktakes precedence; manufacture or treatment H01L21/4846} ; mountings per se H01L23/12; {materials H01L23/49866})	H01L	H01
H02G7/14	. Arrangements or devices for damping mechanical oscillations of lines, e.g. for reducing production of sound {(damping spacers H02G7/125)}	H02G	H02
H01B17/14	. Supporting insulators (pin insulators H01B17/20; apertured insulators H01B17/24)	H01B	H01
H01B17/38	. Fittings, e.g. caps; Fastenings therefor	H01B	H01
H04N21/43	. . Processing of content or additional data, e.g. demultiplexing additional data from a digital video stream; Elementary client operations, e.g. monitoring of home network or synchronising decoders clock; Client middleware {(demultiplexing of data packets for data networks, e.g. RTP/UDP H04L29/06176)}	H04N	H04
H04N19/50	. using predictive coding (H04N19/61 takes precedence)	H04N	H04
H02G7/20	. Spatial arrangements or dispositions of lines or cables on poles, posts, or towers (construction of poles, posts or towers E04H 12/22)	H02G	H02
H04R2400/11	. Aspects regarding the frame of loudspeaker transducers	H04R	H04
H01G4/30	. Stacked capacitors (H01G4/33 takes precedence)	H01G	H01
H01G4/005	. . Electrodes	H01G	H01
H01G5/14	. . due to longitudinal movement of electrodes	H01G	H01
H02J9/06	. . with automatic change-over {, e.g. UPS systems}	H02J	H02
H02B1/24	. Circuit arrangements for boards or switchyards (devices for displaying diagrams H02B15/00; service supply H02J11/00)	H02B	H02
H04W4/024	. . Guidance services	H04W	H04
H02J3/32	. . using batteries with converting means	H02J	H02
H02S10/20	. Systems characterised by their energy storage means (H02S40/38 takes precedence)	H02S	H02
H02P9/08	. Control of generator circuit during starting or stopping of driving means, e.g. for initiating excitation	H02P	H02
H01F27/40	. Structural association with built-in electric component, e.g. fuse	H01F	H01
H01B1/16	. . the conductive material comprising metals or alloys	H01B	H01
H01H71/00	Details of the protective switches or relays covered by groups H01H73/00 - H01H83/00	H01H	H01
H01B17/02	. Suspension insulators; Strain insulators	H01B	H01
H04H2201/10	. characterised by the type of broadcast system	H04H	H04
H01B3/02	. mainly consisting of inorganic substances	H01B	H01
H01B3/10	. . metallic oxides (ceramics H01B3/12)	H01B	H01
H01B3/08	. . quartz; glass; glass wool; slag wool; vitreous enamels	H01B	H01
H01B9/02	. with screens or conductive layers, e.g. for avoiding large potential gradients	H01B	H01
H01G2/06	. . specially adapted for mounting on a printed-circuit support	H01G	H01
H01G4/38	. Multiple capacitors, i.e. structural combinations of fixed capacitors	H01G	H01
H01R13/652	. . with earth pin, blade or socket	H01R	H01
H01R13/655	. . with earth brace	H01R	H01
H01R13/04	. . Pins or blades for co-operation with sockets	H01R	H01
H01R13/66	. Structural association with built-in electrical component (coupling devices having concentrically or coaxially-arranged contacts H01R24/38)	H01R	H01
H01R24/78	. . with additional earth or shield contacts	H01R	H01
H04N13/275	. . from 3D object models, e.g. computer-generated stereoscopic image signals	H04N	H04
H01B7/32	. with arrangements for indicating defects, e.g. breaks or leaks	H01B	H01
H02G15/18	. . protected by sleeves, e.g. for communication cable (two-part covers H02G15/10 {; preforms having internal stresses B29C 61/00})	H02G	H02
H01F41/04	. . for manufacturing coils {(coils for transformer or inductances H01F27/28)}	H01F	H01
H02G3/03	. . Cooling	H02G	H02
H04M1/64	. Automatic arrangements for answering calls; Automatic arrangements for recording messages for absent subscribers; Arrangements for recording conversations (centralised dictation systems H04M11/10)	H04M	H04
H01F27/04	. . Leading of conductors or axles through casings, e.g. for tap-changing arrangements	H01F	H01
H01B17/26	. Lead-in insulators; Lead-through insulators	H01B	H01
H02S10/10	. including a supplementary source of electric power, e.g. hybrid diesel-PV energy systems (combinations with gas-turbine plants F02C 6/00)	H02S	H02
H01G4/224	. . Housing; Encapsulation	H01G	H01
H01G2/02	. Mountings	H01G	H01
H01G2/10	. Housing; Encapsulation	H01G	H01
H05F3/00	Carrying-off electrostatic charges ({from shoes A43B 7/36}; from living beings A61N 1/14; {from tyres B60C 19/08; from vehicles B60R 16/06; from aircraft B64D 45/02; from large containers B65D 90/46})	H05F	H05
H01M2220/20	. Batteries in motive systems, e.g. vehicle, ship, plane	H01M	H01
H01M2220/30	. Batteries in portable systems, e.g. mobile phone, laptop	H01M	H01
H04W4/30	. Services specially adapted for particular environments, situations or purposes	H04W	H04
H02K2203/12	. Machines characterised by the bobbins for supporting the windings	H02K	H02
H01H2233/07	. Cap or button on actuator part	H01H	H01
H01F17/02	. without magnetic core	H01F	H01
H01F27/28	. Coils; Windings; Conductive connections	H01F	H01
H05K2203/1518	. . Vertically held PCB	H05K	H05
H01H21/02	. Details	H01H	H01
H01H2219/039	. . Selective or different modes of illumination	H01H	H01
H04L12/66	. Arrangements for connecting between networks having differing types of switching systems, e.g. gateways	H04L	H04
H01R25/00	Coupling parts adapted for simultaneous co-operation with two or more identical counterparts, e.g. for distributing energy to two or more circuits (supported only by co-operation with a counterpart H01R31/00; with a holder adapted for supporting apparatus to which its counterpart is attached H01R33/88)	H01R	H01
H04R3/12	. for distributing signals to two or more loudspeakers {(specially adapted for hearing aids H04R25/407)}	H04R	H04
H04R2201/403	. . Linear arrays of transducers	H04R	H04
H02G9/02	. laid directly in or on the ground, river-bed or sea-bottom; Coverings therefor, e.g. tile	H02G	H02
H04L2209/56	. Financial cryptography, e.g. electronic payment or e-cash	H04L	H04
H05B45/00	Circuit arrangements for operating light emitting diodes [LEDs]	H05B	H05
H01L21/673	. . using specially adapted carriers {or holders; Fixing the workpieces on such carriers or holders (holders for supporting a complete device in operation H01L23/32)}	H01L	H01
H01L21/677	. . for conveying, e.g. between different workstations	H01L	H01
H01M10/48	. . Accumulators combined with arrangements for measuring, testing or indicating the condition of cells, e.g. the level or density of the electrolyte (constructional details of current conducting connections for detecting conditions inside cells or batteries, e.g. details of voltage sensing terminals, H01M50/569)	H01M	H01
H01M2200/10	. Temperature sensitive devices	H01M	H01
H01H9/16	. Indicators for switching condition, e.g. on or off	H01H	H01
H02G7/05	. Suspension arrangements or devices for electric cables or lines	H02G	H02
H04Q2209/40	. using a wireless architecture	H04Q	H04
H01M2200/00	Safety devices for primary or secondary batteries	H01M	H01
H01M2220/10	. Batteries in stationary systems, e.g. emergency power source in plant	H01M	H01
H01F27/08	. Cooling (heat-transfer elements F28F); Ventilating (structural details of casings H01F27/02)	H01F	H01
H04H20/61	. . for local area broadcast, e.g. instore broadcast	H04H	H04
H02J50/00	Circuit arrangements or systems for wireless supply or distribution of electric power	H02J	H02
H02K11/20	. for measuring, monitoring, testing, protecting or switching (rectifiers H02K11/04; power electronics H02K11/33)	H02K	H02
H01R13/193	. . Means for increasing contact pressure at the end of engagement of coupling part {, e.g. zero insertion force or no friction}	H01R	H01
H01L23/04	. . characterised by the shape {of the container or parts, e.g. caps, walls}	H01L	H01
H03H9/46	. Filters (multiple-port electromechanical filters H03H9/70)	H03H	H03
H01P1/20	. Frequency-selective devices, e.g. filters	H01P	H01
H03H2210/028	. . Resistor	H03H	H03
H03H2210/01	. Tuned parameter of filter characteristics	H03H	H03
H05H1/24	. Generating plasma {(nuclear fusion reactors G21B 1/00; gas-filled discharge reactors H01J37/32)}	H05H	H05
H02K9/22	. by solid heat conducting material embedded in, or arranged in contact with, the stator or rotor, e.g. heat bridges	H02K	H02
H02P29/60	. Controlling or determining the temperature of the motor or of the drive (H02P29/02 takes precedence)	H02P	H02
H02H5/04	. responsive to abnormal temperature {(specially adapted for electric machines H02H7/0852)}	H02H	H02
H01B17/16	. . Fastening of insulators to support, to conductor, or to adjoining insulator	H01B	H01
H04R5/027	. Spatial or constructional arrangements of microphones, e.g. in dummy heads	H04R	H04
H02S30/10	. Frame structures	H02S	H02
H04M2250/02	. including a Bluetooth interface	H04M	H04
H04B17/11	. . for calibration	H04B	H04
H04H20/59	. . for emergency or urgency	H04H	H04
H04H20/88	. . Stereophonic broadcast systems {(multiplex system in general H04J)}	H04H	H04
H04H20/02	. Arrangements for relaying broadcast information	H04H	H04
H04H2201/11	. . digital multimedia broadcasting [DMB]	H04H	H04
H04R3/04	. for correcting frequency response	H04R	H04
H04R2430/01	. Aspects of volume control, not necessarily automatic, in sound systems	H04R	H04
H02G9/10	. in cable chambers, e.g. in manhole, in handhole (building aspects of cable chambers Section E, e.g. E04H 5/06)	H02G	H02
H04W72/14	. . using a grant {or specific} channel	H04W	H04
H04W24/10	. Scheduling measurement reports {; Arrangements for measurement reports}	H04W	H04
H04W16/28	. . using beam steering	H04W	H04
H04B17/382	. . for resource allocation, admission control or handover	H04B	H04
H03M1/12	. Analogue/digital converters ({H03M1/001 – } H03M1/10 take precedence)	H03M	H03
H04W4/24	. Accounting or billing	H04W	H04
H04W4/70	. Services for machine-to-machine communication [M2M] or machine type communication [MTC]	H04W	H04
H02K49/10	. of the permanent-magnet type	H02K	H02
H02S40/42	. . Cooling means (cooling means directly associated or integrated with the PV cell H01L31/052)	H02S	H02
H01Q3/02	. using mechanical movement of antenna or antenna system as a whole	H01Q	H01
H02S40/34	. . comprising specially adapted electrical connection means to be structurally associated with the PV module, e.g. junction boxes	H02S	H02
H04R2410/03	. Reduction of intrinsic noise in microphones	H04R	H04
H04B1/40	. . Circuits	H04B	H04
H04L27/34	. . Amplitude- and phase-modulated carrier systems, e.g. quadrature-amplitude modulated carrier systems	H04L	H04
H01R13/621	. . Bolt, set screw or screw clamp	H01R	H01
H01R4/22	. End caps, i.e. of insulating or conductive material for covering or maintaining connections between wires entering the cap from the same end	H01R	H01
H01R4/70	. Insulation of connections (end caps H01R4/22)	H01R	H01
H01R13/533	. . Bases, cases made for use in extreme conditions, e.g. high temperature, radiation, vibration, corrosive environment, pressure (H01R13/52 takes precedence)	H01R	H01
H04B1/06	. Receivers	H04B	H04
H04R1/10	. Earpieces; Attachments therefor {; Earphones; Monophonic headphones (H04R1/28 takes precedence; stereophonic headphones H04R5/033)}	H04R	H04
H02G1/02	. for overhead lines or cables	H02G	H02
H01B7/17	. Protection against damage caused by external factors, e.g. sheaths or armouring	H01B	H01
H02G1/04	. . for mounting or stretching (wire stretchers in general B25B 25/00)	H02G	H02
H04W16/14	. Spectrum sharing arrangements {between different networks}	H04W	H04
H04H20/06	. . among broadcast stations	H04H	H04
H01L33/48	. characterised by the semiconductor body packages	H01L	H01
